City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,24.78,72,3,7.3,MU,1686866588
1,brisas de zicatela,15.8369,-97.0419,32.29,58,40,4.12,MX,1686866588
2,bilibino,68.0546,166.4372,4.62,51,62,0.29,RU,1686866588
3,malpica,43.3228,-8.8105,20.09,74,80,1.77,ES,1686866588
4,west island,-12.1568,96.8225,26.99,89,75,8.03,CC,1686866588
5,lihue,21.9789,-159.3672,26.36,78,75,9.77,US,1686866540
6,vila do maio,15.1333,-23.2167,25.44,79,41,4.12,CV,1686866589
7,port-aux-francais,-49.35,70.2167,6.78,97,100,11.63,TF,1686866589
8,concepcion de la sierra,-27.9831,-55.5203,13.69,99,100,2.39,AR,1686866589
9,qaqortoq,60.7167,-46.0333,3.69,70,14,2.24,GL,1686866589
10,jilib,0.4883,42.7854,21.74,94,72,2.43,SO,1686866589
11,atafu village,-8.5421,-172.5159,29.13,73,16,8.31,TK,1686866589
12,iqaluit,63.7506,-68.5145,5.39,52,32,5.81,CA,1686866589
13,soe,-9.8607,124.284,15.68,94,51,1.98,ID,1686866589
14,adamstown,-25.066,-130.1015,21.42,70,79,3.12,PN,1686866590
15,yellowknife,62.456,-114.3525,16.98,45,96,5.36,CA,1686866512
16,grytviken,-54.2811,-36.5092,-0.49,86,69,3.75,GS,1686866590
17,pointe michel,15.25,-61.3833,28.08,78,1,7.69,DM,1686866590
18,enewetak,11.3474,162.3373,27.74,80,99,8.47,MH,1686866590
19,nishinoomote,30.7333,131.0,23.74,71,100,4.49,JP,1686866590
20,ribeira grande,38.5167,-28.7,19.32,84,11,1.34,PT,1686866590
21,albany,42.6001,-73.9662,25.53,51,21,0.45,US,1686866554
22,bartica,6.4,-58.6167,28.18,99,97,1.87,GY,1686866591
23,ingeniero guillermo n. juarez,-23.9,-61.85,11.73,36,0,2.38,AR,1686866591
24,karratha,-20.7377,116.8463,19.75,43,92,2.37,AU,1686866591
25,fougamou,-1.2154,10.5838,23.23,89,98,1.36,GA,1686866591
26,kristiansund,63.1115,7.732,13.03,82,32,4.63,NO,1686866591
27,ouani,-12.1322,44.4258,25.45,71,86,1.18,KM,1686866591
28,el calafate,-50.3408,-72.2768,-2.24,74,86,0.42,AR,1686866475
29,saipan,15.1355,145.701,30.39,100,40,6.69,MP,1686866592
30,northam,51.0333,-4.2167,17.44,73,1,0.24,GB,1686866592
31,papatowai,-46.5619,169.4708,6.29,70,100,3.26,NZ,1686866592
32,happy valley-goose bay,53.3168,-60.3315,10.17,93,100,4.63,CA,1686866592
33,gunjur,13.2019,-16.7339,26.04,89,0,0.0,GM,1686866592
34,bredasdorp,-34.5322,20.0403,10.41,91,7,2.46,ZA,1686866592
35,remire-montjoly,4.9167,-52.2667,27.02,83,20,3.6,GF,1686866592
36,rongelap,11.1635,166.8941,27.78,75,72,8.49,MH,1686866592
37,chonchi,-42.6128,-73.8092,6.18,87,6,1.6,CL,1686866593
38,waitangi,-43.9535,-176.5597,11.57,90,93,0.89,NZ,1686866593
39,fort st. john,56.2499,-120.8529,19.83,41,17,2.92,CA,1686866593
40,port macquarie,-31.4333,152.9167,6.05,63,0,1.93,AU,1686866593
41,margaret river,-33.95,115.0667,15.82,61,87,10.83,AU,1686866593
42,avarua,-21.2078,-159.775,23.03,94,99,2.57,CK,1686866593
43,porto seguro,-16.4497,-39.0647,24.29,88,40,1.54,BR,1686866593
44,namibe,-15.1961,12.1522,19.44,71,0,0.4,AO,1686866594
45,port elizabeth,-33.918,25.5701,13.94,94,20,5.66,ZA,1686866400
46,edinburgh of the seven seas,-37.0676,-12.3116,12.3,63,93,17.67,SH,1686866594
47,hechuan,29.9947,106.2572,19.61,94,100,1.41,CN,1686866594
48,tazovsky,67.4667,78.7,2.72,93,99,5.85,RU,1686866594
49,pervomayskoye,43.919,46.7102,20.99,78,62,2.83,RU,1686866594
50,puerto natales,-51.7236,-72.4875,3.03,74,9,3.69,CL,1686866594
51,wailua homesteads,22.0669,-159.378,26.24,82,75,8.23,US,1686866594
52,minab,27.1467,57.0801,31.5,62,38,1.25,IR,1686866594
53,chauk,20.8833,94.8167,27.88,74,91,6.48,MM,1686866594
54,peniche,39.3558,-9.3811,21.71,89,75,6.97,PT,1686866468
55,danjiangkou,32.5428,111.5086,24.5,55,100,3.91,CN,1686866469
56,vorgashor,67.5833,63.95,0.38,97,85,6.39,RU,1686866595
57,birao,10.2849,22.7882,25.19,81,96,1.57,CF,1686866595
58,pilar,-9.5972,-35.9567,23.96,95,20,2.19,BR,1686866542
59,vernon,50.2581,-119.2691,27.74,25,55,0.89,CA,1686866595
60,rodolfo sanchez taboada,31.7167,-116.5667,21.17,67,35,2.24,MX,1686866595
61,hamilton,39.1834,-84.5333,28.69,55,40,3.6,US,1686866584
62,vilyuchinsk,52.9306,158.4028,18.15,64,55,4.17,RU,1686866595
63,lebu,-37.6167,-73.65,10.98,87,48,7.91,CL,1686866595
64,phan rang-thap cham,11.5667,108.9833,26.76,80,100,1.09,VN,1686866596
65,bamboo flat,11.7,92.7167,26.9,85,83,3.86,IN,1686866596
66,mata-utu,-13.2816,-176.1745,28.29,78,84,6.57,WF,1686866596
67,olonkinbyen,70.9221,-8.7187,3.39,92,86,4.4,SJ,1686866596
68,ushuaia,-54.8,-68.3,1.67,97,64,2.1,AR,1686866596
69,ajra,16.1167,74.2,22.71,89,36,3.29,IN,1686866596
70,taoudenni,22.6783,-3.9836,37.72,8,4,5.13,ML,1686866596
71,nova sintra,14.8667,-24.7167,21.09,79,26,5.62,CV,1686866596
72,whitehorse,60.7161,-135.0538,18.39,25,99,4.02,CA,1686866597
73,puerto aysen,-45.4,-72.7,0.14,95,71,0.39,CL,1686866597
74,kodiak,57.79,-152.4072,8.73,93,100,5.14,US,1686866597
75,colonia,50.9333,6.95,19.92,59,0,3.09,DE,1686866518
76,queenstown,-31.8976,26.8753,8.09,69,28,6.59,ZA,1686866597
77,alegrete,-29.7831,-55.7919,12.72,93,100,6.56,BR,1686866597
78,ambon,-3.6954,128.1814,27.08,86,40,1.54,ID,1686866597
79,adi keyh,14.8444,39.3772,17.06,65,8,1.3,ER,1686866597
80,sisimiut,66.9395,-53.6735,0.29,79,100,3.79,GL,1686866598
81,baissa,7.2333,10.6333,22.34,98,100,0.97,NG,1686866598
82,aasiaat,68.7098,-52.8699,0.73,81,100,4.39,GL,1686866598
83,brookings,44.3114,-96.7984,31.0,33,75,2.57,US,1686866598
84,susuman,62.7833,148.1667,16.63,58,66,1.5,RU,1686866598
85,college,64.8569,-147.8028,19.99,32,75,2.06,US,1686866598
86,salatiga,-7.3319,110.4928,22.33,95,72,0.81,ID,1686866598
87,tiksi,71.6872,128.8694,4.95,80,94,2.21,RU,1686866599
88,hermanus,-34.4187,19.2345,8.78,85,9,3.55,ZA,1686866549
89,cockburn town,21.4612,-71.1419,28.34,86,89,7.43,TC,1686866599
